# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,8.945425,-184.750382,6.201182,6.889295,4.845137,-4.513283,2.699671,3.447601,6.260440,5.462342,0.037518,0.471563
0.000521,8.593619,-184.357523,6.482173,7.095940,4.585433,-2.722659,2.823542,2.534349,6.261122,5.248210,0.038918,0.489949
0.001042,8.502421,-185.073388,6.454810,7.178306,4.667337,-3.360925,2.848309,2.598014,6.262083,5.336474,0.038820,0.467026
0.001564,8.571272,-184.606153,6.487988,7.005687,4.746446,-3.191831,2.815373,2.682927,6.262105,5.304397,0.038978,0.476388
0.002085,8.515009,-185.144464,6.313986,6.884569,4.234836,-3.574094,2.705869,2.413670,6.259617,5.413375,0.037824,0.458237
0.002606,8.420100,-184.983373,6.468897,6.941909,4.564455,-4.187403,2.637567,3.131160,6.261863,5.454731,0.038633,0.470756
0.003127,8.361692,-185.792543,6.582798,6.881092,4.510154,-4.072606,2.816795,2.396273,6.261994,5.446851,0.039394,0.426803
0.003649,8.312457,-185.732462,6.576448,6.955602,4.514959,-3.705181,2.947504,2.450014,6.262326,5.399593,0.039583,0.455673
0.004170,8.351703,-185.155818,6.517126,7.114785,4.691602,-3.211263,2.888612,2.526610,6.263071,5.312616,0.039173,0.465666
0.004691,8.347722,-185.194466,6.544861,7.142811,4.690152,-3.296446,3.221229,2.531966,6.263080,5.325021,0.040095,0.484736
0.005212,8.327145,-185.329765,6.523620,7.075919,4.720865,-3.534246,3.071392,2.608431,6.263351,5.355022,0.039656,0.472015
0.005734,8.386316,-185.719061,6.590512,6.829764,4.288030,-3.428423,2.854729,2.412265,6.260707,5.386845,0.039390,0.472450
0.006255,8.196095,-185.954579,6.529745,6.880889,4.720865,-3.534246,3.071392,2.608431,6.264137,5.355022,0.039550,0.472015
0.006776,8.193901,-185.981698,6.524445,6.903278,4.438425,-3.392268,2.864475,2.562327,6.262620,5.364977,0.039017,0.479333
0.007297,8.079955,-184.990504,6.596240,6.879903,4.268718,-2.490810,2.783200,2.454264,6.262305,5.240590,0.039221,0.514307
0.007819,8.037320,-185.054847,6.602023,6.801132,4.529515,-2.981173,2.850572,2.360902,6.263922,5.294483,0.039488,0.464536
0.008340,8.097760,-185.153779,6.612154,6.852145,4.859468,-3.524262,2.905649,2.771239,6.265358,5.339852,0.039759,0.469488
0.008861,8.026345,-185.308888,6.597125,6.919133,4.450450,-2.956788,2.840102,2.314864,6.263578,5.298807,0.039381,0.465554
0.009382,7.974983,-185.343643,6.687640,6.901471,5.064420,-3.927622,3.077114,2.755151,6.267143,5.372032,0.040573,0.449418
0.009903,8.002993,-185.539628,6.684250,6.874326,4.576612,-3.561877,2.845847,2.499362,6.264359,5.373744,0.039915,0.454435
0.010425,7.873422,-184.416068,6.610158,6.873141,4.956888,-3.063265,3.049115,2.767940,6.267105,5.265925,0.040135,0.488829
0.010946,7.879960,-185.474357,6.592920,6.759838,4.150345,-2.779012,2.712026,2.087348,6.262774,5.302410,0.039013,0.460263
0.011467,7.806194,-185.707151,6.569004,6.915396,4.823114,-3.417528,2.868426,2.402367,6.266822,5.328845,0.039317,0.434361
0.011988,7.810578,-185.627029,6.584964,6.849147,4.823114,-3.417528,2.868426,2.402367,6.266791,5.328845,0.039414,0.434361
0.012510,7.810578,-185.627029,6.584964,6.849147,4.617410,-3.644908,2.880835,2.583195,6.265641,5.380623,0.039490,0.459203
0.013031,7.776327,-184.756749,6.576785,6.879795,4.599449,-2.645069,2.880835,2.583195,6.265742,5.234286,0.039421,0.501392
0.013552,7.782109,-184.513772,6.601053,7.004525,4.427171,-2.164697,2.893606,2.434160,6.264789,5.167163,0.039519,0.513248
0.014073,7.844885,-185.422185,6.602453,7.061854,4.497410,-3.372422,2.801994,2.306818,6.264800,5.355800,0.039392,0.444086
0.014595,7.800070,-185.513610,6.601053,7.004525,4.297181,-3.332935,2.667132,2.332763,6.263960,5.372080,0.039073,0.453031
0.015116,7.782109,-184.513772,6.601053,7.004525,4.706147,-2.482952,2.857835,2.392446,6.266289,5.197870,0.039511,0.470058
0.015637,7.737120,-185.446075,6.582990,6.981977,4.444594,-3.260402,2.826102,2.344814,6.265115,5.345289,0.039316,0.457829
0.016158,7.844885,-185.422185,6.602453,7.061854,4.593312,-3.459541,3.002446,2.435728,6.265318,5.357915,0.039854,0.461683
0.016680,7.786285,-185.464611,6.564647,7.134271,5.450355,-3.932319,3.127126,2.701696,6.270318,5.337386,0.040053,0.424722
0.017201,7.803514,-185.622601,6.580637,7.097861,5.378114,-3.910357,3.167940,2.578729,6.269839,5.341064,0.040189,0.420573
0.017722,7.788358,-185.561444,6.608797,6.971712,5.424580,-3.819128,3.152725,2.620155,6.270180,5.325822,0.040286,0.423245
0.018243,7.859059,-185.390291,6.521661,6.859271,5.450355,-3.932319,3.127126,2.701696,6.269912,5.337386,0.039855,0.424722
0.018765,7.814867,-185.434054,6.571068,6.823540,5.541872,-4.021599,3.098532,2.659625,6.270657,5.340140,0.040044,0.411659
0.019286,7.545360,-185.509167,6.441347,7.047250,4.753794,-3.511429,2.866341,2.361697,6.267848,5.348592,0.038734,0.431683
0.019807,7.874154,-185.634213,6.596343,6.942269,5.393786,-3.938954,3.097613,2.715453,6.269535,5.343147,0.040105,0.427340
0.020328,7.874154,-185.634213,6.596343,6.942269,5.393786,-3.938954,3.097613,2.715453,6.269535,5.343147,0.040105,0.427340
0.020849,7.835030,-185.495700,6.547504,7.005215,5.393786,-3.938954,3.097613,2.715453,6.269740,5.343147,0.039892,0.427340
0.021371,7.874154,-185.634213,6.596343,6.942269,5.242189,-4.085019,3.103355,2.719072,6.268689,5.374354,0.040150,0.431893
0.021892,7.856193,-184.634375,6.596343,6.942269,5.274977,-3.069739,3.079857,2.729227,6.268970,5.239426,0.040092,0.462391
0.022413,7.803302,-184.886639,6.547682,7.102509,5.103426,-2.953544,3.206179,2.780518,6.268346,5.237028,0.040069,0.490668
0.022934,7.819183,-185.854456,6.544527,7.061960,5.138990,-4.009353,3.217159,2.736734,6.268447,5.374929,0.040099,0.449188
0.023456,7.809656,-185.816720,6.548309,7.009212,4.549533,-3.750795,2.942854,2.525108,6.265281,5.401853,0.039426,0.458241
0.023977,7.640731,-184.893288,6.629135,6.997432,4.843150,-2.189780,3.101083,2.267764,6.267874,5.137021,0.040053,0.457073
0.024498,7.810390,-184.864572,6.547534,7.031164,5.375825,-2.939116,3.097613,2.715453,6.269804,5.212717,0.039811,0.458314
0.025019,7.724223,-185.004616,6.644644,7.046540,4.926022,-2.697352,3.110504,2.466821,6.267838,5.213366,0.040239,0.468169
0.025541,7.810482,-184.882887,6.602108,6.980080,4.781135,-2.481605,2.916470,2.393499,6.266579,5.191153,0.039565,0.466622
0.026062,7.810482,-184.882887,6.602108,6.980080,4.694336,-2.748033,2.906721,2.524459,6.266078,5.241999,0.039601,0.483004
0.026583,7.785423,-184.915977,6.587879,7.057580,4.955957,-2.506759,2.876149,2.346637,6.267675,5.180672,0.039403,0.443612
0.027104,7.756920,-185.127393,6.587547,6.979930,4.755391,-2.726960,2.866754,2.531340,6.266731,5.233055,0.039383,0.477644
