# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
0.000000,88.024840,-308.532532,6.832169,5.895146,-70.913966,-217.931267,3.455237,3.561784,5.230487,0.314590,0.038720,0.015122
0.000530,88.206407,-308.440596,7.006211,5.814662,-71.217295,-217.800692,3.335911,4.060212,5.229360,0.316025,0.039592,0.014892
0.001061,88.365475,-308.621245,6.984801,5.854006,-71.095356,-217.459633,3.459597,3.843039,5.231730,0.315982,0.039231,0.015291
0.001591,88.482046,-308.592201,7.073944,5.839460,-71.444043,-216.751976,3.515034,2.747082,5.233672,0.318398,0.037092,0.015105
0.002122,88.482046,-308.592201,7.073944,5.839460,-71.582945,-216.870487,3.578652,2.806032,5.232740,0.318813,0.037214,0.015370
0.002652,88.324123,-308.700214,6.996602,5.814683,-71.582945,-216.870487,3.578652,2.806032,5.233674,0.318813,0.037045,0.015370
0.003183,88.344176,-308.736538,6.989087,5.830525,-71.582945,-216.870487,3.578652,2.806032,5.233791,0.318813,0.037083,0.015370
0.003713,88.394463,-308.771740,6.968228,5.851723,-71.385160,-217.047150,3.611134,2.872410,5.233524,0.317748,0.037302,0.015519
0.004244,88.301827,-308.870146,6.977807,5.817617,-71.685523,-216.792141,3.457628,2.795729,5.234624,0.319347,0.036895,0.014882
0.004774,88.277429,-309.095192,6.979355,5.674055,-71.301388,-218.464567,3.195200,3.913414,5.228899,0.315475,0.038643,0.014235
0.005304,88.237555,-310.290935,6.889638,6.282730,-71.531775,-219.570971,3.317684,3.682566,5.228809,0.314937,0.040129,0.014526
0.005835,88.382818,-308.604391,6.972905,5.792454,-71.661350,-218.037226,3.237570,3.655263,5.227349,0.317544,0.038402,0.014294
0.006365,88.478425,-308.752810,6.966535,5.722913,-71.364957,-218.015351,3.383364,4.011162,5.228693,0.316346,0.039065,0.015036
0.006896,88.452606,-308.858306,6.967562,5.702532,-71.330481,-218.436527,3.345358,3.614701,5.227360,0.315633,0.038135,0.014675
0.007426,88.358288,-308.916276,6.919465,5.692823,-71.578279,-218.499546,3.332092,4.190738,5.226925,0.316573,0.039307,0.014895
0.007957,88.336250,-308.949178,6.896479,5.722854,-71.865393,-219.011684,3.456184,3.807716,5.223944,0.317065,0.038560,0.015149
0.008487,88.336250,-308.949178,6.896479,5.722854,-71.336092,-219.471005,3.703279,3.715905,5.223171,0.314265,0.038662,0.016052
0.009018,88.159811,-309.111590,6.667027,5.971503,-71.667003,-219.276638,3.495388,3.696907,5.224457,0.315890,0.038985,0.015238
0.009548,87.996594,-309.667724,6.635449,6.348920,-71.294331,-218.348691,3.405705,3.334393,5.232933,0.315602,0.039450,0.014798
0.010078,88.433082,-309.214042,6.936472,5.944151,-71.294331,-218.348691,3.405705,3.334393,5.229610,0.315602,0.038361,0.014798
0.010609,88.226726,-309.407125,6.968471,6.123034,-71.294331,-218.348691,3.405705,3.334393,5.231079,0.315602,0.039050,0.014798
0.011139,88.324890,-309.435240,6.981029,6.158551,-71.814813,-218.756897,3.523298,3.589289,5.227619,0.317201,0.039679,0.015331
0.011670,88.251582,-309.407698,6.953184,6.128760,-71.271780,-219.207366,3.755771,3.571015,5.227006,0.314353,0.039821,0.016219
0.012200,88.544564,-309.157811,6.947239,5.939566,-70.802567,-218.756228,3.613547,3.477305,5.228436,0.313019,0.038892,0.015661
0.012731,88.347341,-309.682988,6.953200,6.270523,-70.802567,-218.756228,3.613547,3.477305,5.231459,0.313019,0.040043,0.015661
0.013261,88.561232,-309.278153,6.960171,5.978331,-71.230027,-218.242231,3.468786,3.201333,5.230244,0.315480,0.038272,0.015002
0.013791,88.729472,-309.022408,6.890374,6.027843,-70.858656,-218.800449,3.492329,3.765237,5.226935,0.313192,0.039610,0.015301
0.014322,88.792416,-308.423925,6.882769,5.813681,-71.230981,-218.038883,3.230645,4.058992,5.226542,0.315759,0.039273,0.014472
0.014852,88.743095,-309.350045,6.849795,5.849071,-71.507949,-217.645377,3.596653,2.483247,5.232159,0.317442,0.036406,0.015294
0.015383,88.713086,-309.248989,6.830247,5.929201,-71.592786,-216.890449,3.454253,2.849487,5.235079,0.318826,0.037091,0.014884
0.015913,88.878874,-309.047706,6.714467,5.974395,-71.647615,-219.569537,3.298585,3.720710,5.220899,0.315416,0.038882,0.014468
0.016444,88.949693,-308.939316,6.798253,5.922851,-71.060673,-218.286474,3.412018,3.485471,5.227845,0.314719,0.038377,0.014894
0.016974,89.068450,-308.896182,6.829476,5.976721,-70.897352,-218.040468,3.430233,3.581955,5.228924,0.314374,0.038802,0.015026
0.017505,88.955164,-308.728143,6.828278,5.804138,-71.349062,-216.171713,2.913344,3.052849,5.236010,0.318799,0.036654,0.012859
0.018035,88.896539,-309.161969,6.770408,6.085481,-71.156629,-218.454260,3.220604,4.246798,5.227990,0.314890,0.040439,0.014506
0.018565,89.008980,-309.087215,6.813650,6.019947,-71.031093,-215.957716,2.959816,2.952089,5.239404,0.317766,0.037238,0.013016
0.019096,88.962244,-309.061397,6.789666,6.017612,-70.849887,-218.389133,2.850054,4.092155,5.228469,0.313708,0.039720,0.013026
0.019626,89.085092,-308.866365,6.858593,5.954568,-70.823625,-218.717709,2.885458,3.888040,5.225728,0.313158,0.039180,0.013028
0.020157,88.912784,-309.132775,6.800089,6.065326,-70.600803,-218.748240,3.011189,3.847023,5.227907,0.312195,0.039517,0.013485
0.020687,89.000442,-309.072029,6.776943,6.181988,-70.635611,-218.432622,2.975420,4.049553,5.228786,0.312761,0.040273,0.013474
0.021218,88.983574,-309.089358,6.844979,5.997977,-70.527275,-219.013418,2.981736,3.916697,5.226449,0.311537,0.039511,0.013393
0.021748,89.123506,-309.444626,6.811655,5.947142,-70.455179,-219.089802,2.943793,3.891640,5.227591,0.311137,0.039178,0.013232
0.022279,89.180394,-309.458201,6.853135,5.939807,-69.796803,-219.732971,3.314738,3.830219,5.226213,0.307564,0.039458,0.014597
0.022809,89.451648,-308.880749,6.839398,5.861420,-69.730716,-218.913643,3.271813,3.923366,5.226814,0.308370,0.039294,0.014525
0.023339,89.451648,-308.880749,6.839398,5.861420,-69.441781,-218.016174,3.363592,3.303101,5.231859,0.308357,0.038019,0.014676
0.023870,89.415683,-308.774382,6.901143,5.771766,-69.794844,-216.701808,3.451495,2.553507,5.236705,0.311587,0.036382,0.014834
0.024400,89.460188,-309.176121,6.911405,6.000020,-70.367840,-217.175714,3.034102,2.907233,5.234690,0.313339,0.037399,0.013239
0.024931,89.458819,-309.597142,6.819850,6.298722,-70.488807,-217.288015,3.084823,2.943687,5.235816,0.313692,0.038389,0.013447
0.025461,89.458819,-309.597142,6.819850,6.298722,-70.436823,-217.273463,3.119139,2.934512,5.236025,0.313495,0.038402,0.013581
0.025992,89.462098,-309.489198,6.825923,6.075741,-70.061174,-217.433460,3.435727,2.918844,5.235776,0.311714,0.037879,0.014842
0.026522,89.350829,-309.785666,6.808356,6.268917,-69.682551,-218.260589,3.191931,3.658082,5.234605,0.309034,0.039915,0.014132
0.027053,89.469916,-309.507483,6.826761,6.050765,-70.101128,-217.884761,3.131372,3.677582,5.233608,0.311276,0.039074,0.013922
0.027583,89.469916,-309.507483,6.826761,6.050765,-70.063371,-217.157004,3.454463,3.030878,5.237134,0.312095,0.037973,0.014974
0.028113,89.423684,-309.729740,6.742896,5.948998,-69.828958,-217.730162,3.377613,3.765987,5.236247,0.310350,0.038982,0.014938
0.028644,89.435039,-309.879075,6.704051,6.060828,-69.828958,-217.730162,3.377613,3.765987,5.236919,0.310350,0.039296,0.014938
