0,1,2,3,4,5,6,7,8
0.0,0.3090169943749474,-0.9510565162951535,0.1,0.1,0.3090169943749474,-1.9510565162951536,0.1,0.1
0.03333333333333333,0.306047307146857,-0.9520163054213711,0.1,0.1,0.3104979641629296,-1.9520064011983869,0.1,0.1
0.06666666666666667,0.29716067016085973,-0.9548274902355653,0.1,0.1,0.31488172544924675,-1.9546704600060518,0.1,0.1
0.1,0.2762744278118699,-0.9610787899736545,0.1,0.1,0.32487327162050034,-1.9598971680486998,0.1,0.1
0.13333333333333333,0.254148185547208,-0.9671652908283371,0.1,0.1,0.33490740189035384,-1.9638989307621166,0.1,0.1
0.16666666666666666,0.22704382313300295,-0.9738845426317997,0.1,0.1,0.3462737546346275,-1.9667512121469557,0.1,0.1
0.2,0.18472950123313966,-0.9827894033688781,0.1,0.1,0.3614749506525204,-1.9670459990336169,0.1,0.1
0.23333333333333334,0.15003827774523257,-0.9886801885398758,0.1,0.1,0.3710035043753094,-1.9639618753464716,0.1,0.1
0.26666666666666666,0.11449751841960669,-0.9934235341865784,0.1,0.1,0.3772450989329143,-1.9582881407166361,0.1,0.1
0.3,0.06828085685455165,-0.9976661388396462,0.1,0.1,0.3783635386407036,-1.9483757319627555,0.1,0.1
0.3333333333333333,0.03598517643799897,-0.9993523237961305,0.1,0.1,0.3728210065266153,-1.9409157170780236,0.1,0.1
0.36666666666666664,0.006611763578304469,-0.9999781420523074,0.1,0.1,0.36142787662178977,-1.9349142499894822,0.1,0.1
0.4,-0.027122569433217104,-0.999632115444147,0.1,0.1,0.3370192516646167,-1.9309756257171038,0.1,0.1
0.43333333333333335,-0.04790215863315256,-0.9988520326846636,0.1,0.1,0.3118450334422664,-1.9319018479645615,0.1,0.1
0.4666666666666667,-0.06451917496014872,-0.9979164674773444,0.1,0.1,0.2808359216019989,-1.9363885540513404,0.1,0.1
0.5,-0.07983503478728335,-0.9968080894638212,0.1,0.1,0.23045040482925686,-1.9474515273320738,0.1,0.1
0.5333333333333333,-0.08597261504397961,-0.9962975004799017,0.1,0.1,0.1859075563580288,-1.9586286141816331,0.1,0.1
0.5666666666666667,-0.0874294039799496,-0.9961707179593821,0.1,0.1,0.13568502796745624,-1.970962978011126,0.1,0.1
0.6,-0.08227772874981366,-0.9966094397264016,0.1,0.1,0.0604888501050546,-1.9863658258952794,0.1,0.1
0.6333333333333333,-0.073661681901082,-0.9972832880478364,0.1,0.1,-0.0010497169170852472,-1.9946435552237265,0.1,0.1
0.6666666666666666,-0.06198279769377864,-0.9980772178494268,0.1,0.1,-0.06540446802863331,-1.9980713639183523,0.1,0.1
0.7,-0.04411078315956687,-0.9990266456952235,0.1,0.1,-0.1519725450685348,-1.9931925475033136,0.1,0.1
0.7333333333333333,-0.031118783805689162,-0.9995156933707718,0.1,0.1,-0.2144618578253231,-1.982564683609321,0.1,0.1
0.7666666666666666,-0.02011840634149801,-0.999797604381146,0.1,0.1,-0.2726457523798339,-1.9673873622345632,0.1,0.1
0.8,-0.010239494463878406,-0.999947575002372,0.1,0.1,-0.3413585321573017,-1.9435365654409957,0.1,0.1
0.8333333333333334,-0.0070655525089002875,-0.9999750386723381,0.1,0.1,-0.38548194122804663,-1.925610515924998,0.1,0.1
0.8666666666666667,-0.007688568683890591,-0.9999704425189742,0.1,0.1,-0.42309498165058207,-1.9096063653288349,0.1,0.1
0.9,-0.014331934192574372,-0.9998972925567404,0.1,0.1,-0.46325489790885327,-1.893467755725814,0.1,0.1
0.9333333333333333,-0.02350114281479605,-0.999723810002742,0.1,0.1,-0.486033463461493,-1.8863262306836135,0.1,0.1
0.9666666666666667,-0.03608451815685443,-0.9993487417060111,0.1,0.1,-0.5025948410446055,-1.8838644954601012,0.1,0.1
1.0,-0.057890239884271034,-0.9983229538211278,0.1,0.1,-0.5149646628372724,-1.887751406189378,0.1,0.1
1.0333333333333332,-0.07777119121352355,-0.9969712341974715,0.1,0.1,-0.5168333243752772,-1.8954279350036096,0.1,0.1
1.0666666666666667,-0.10845695499256364,-0.9941011462189051,0.1,0.1,-0.5092525192646148,-1.9102686612836166,0.1,0.1
1.1,-0.13400439257471905,-0.9909807378403884,0.1,0.1,-0.49605337564894014,-1.923139808951603,0.1,0.1
1.1333333333333333,-0.16089257019452297,-0.9869719250597762,0.1,0.1,-0.47679324081315855,-1.935764192261979,0.1,0.1
1.1666666666666667,-0.19689303975140923,-0.9804249746397987,0.1,0.1,-0.44317792193115146,-1.9496224554504489,0.1,0.1
1.2,-0.22221054249158873,-0.9749987050276497,0.1,0.1,-0.4137955769617989,-1.9564747233628144,0.1,0.1
1.2333333333333334,-0.24451375805260356,-0.9696458230317877,0.1,0.1,-0.38269393033747434,-1.960052931238975,0.1,0.1
1.2666666666666666,-0.26758042768291873,-0.9635355285203687,0.1,0.1,-0.3413028224910742,-1.9608143303124004,0.1,0.1
1.3,-0.2788887140824995,-0.9603234273709091,0.1,0.1,-0.3119327725654537,-1.959777323355599,0.1,0.1
1.3333333333333333,-0.2845999163998548,-0.9586463829719464,0.1,0.1,-0.2849297051173184,-1.9586463285916458,0.1,0.1
1.3666666666666667,-0.28322014605255663,-0.959054924845271,0.1,0.1,-0.2534468660117276,-1.9586116024757145,0.1,0.1
1.4,-0.2753852775887166,-0.9613339424400792,0.1,0.1,-0.23357102250751294,-1.9604593440148785,0.1,0.1
1.4333333333333333,-0.2617536674985824,-0.9651347147165734,0.1,0.1,-0.21703148835142813,-1.9641341775254029,0.1,0.1
1.4666666666666666,-0.2347328225788724,-0.9720599271671246,0.1,0.1,-0.20015073416806198,-1.9714617878623841,0.1,0.1
1.5,-0.20810913344958076,-0.9781056121783908,0.1,0.1,-0.1911573357789183,-1.9779619201325551,0.1,0.1
1.5333333333333332,-0.1764998812564423,-0.984300661341067,0.1,0.1,-0.1848698131440761,-1.9842656328476673,0.1,0.1
1.5666666666666667,-0.1279298018305199,-0.9917832252078091,0.1,0.1,-0.17939908415960448,-1.9904578033244893,0.1,0.1
1.6,-0.0882068073428632,-0.9961021830808218,0.1,0.1,-0.17602356364089736,-1.992238828985033,0.1,0.1
1.6333333333333333,-0.0473422855708569,-0.9988787253700658,0.1,0.1,-0.17172520732443342,-1.9911130166420636,0.1,0.1
1.6666666666666667,0.006126919815999108,-0.9999812302506325,0.1,0.1,-0.16216552317063737,-1.9857183420779134,0.1,0.1
1.7,0.0436312761354761,-0.9990477024360698,0.1,0.1,-0.1507048696097759,-1.97998269643765,0.1,0.1
1.7333333333333334,0.07773182526039976,-0.996974304253468,0.1,0.1,-0.13479715146700655,-1.974129068889655,0.1,0.1
1.7666666666666666,0.11672272505454788,-0.9931645409778987,0.1,0.1,-0.10611876715687006,-1.968019232380155,0.1,0.1
1.8,0.14054792407479258,-0.9900738765558186,0.1,0.1,-0.07887989699802767,-1.965702612981327,0.1,0.1
1.8333333333333333,0.1594200095922523,-0.9872108490801781,0.1,0.1,-0.046747216767497435,-1.965727621943642,0.1,0.1
1.8666666666666667,0.1765601785892753,-0.9842898472180455,0.1,0.1,0.0035678398139474543,-1.9692130171785465,0.1,0.1
1.9,0.18324680145289948,-0.9830669406288066,0.1,0.1,0.04671441731603454,-1.9737025487521485,0.1,0.1
1.9333333333333333,0.1846201273649307,-0.9828099554704138,0.1,0.1,0.0941869168729797,-1.978712478029785,0.1,0.1
1.9666666666666666,0.17847124250153232,-0.9839451283481001,0.1,0.1,0.16324630330381065,-1.9838292222442004,0.1,0.1
