# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad), kinetic energy (J), kinetic energy error (J), potential energy (J), potential energy error (J)
3.248638,-139.493162,-142.720969,6.510643,6.716205,-0.819673,-22.368821,3.711239,2.896156,0.856012,0.036627,0.040258,0.165756,0.000868,0.004092,-0.050508,0.002381
3.252814,-140.452004,-141.396285,6.728542,6.579571,-0.796177,-22.271540,3.765095,2.748137,0.864570,0.035733,0.040206,0.168896,0.000900,0.003541,-0.050055,0.002407
3.256990,-141.144519,-140.319030,6.738843,6.527171,-0.556664,-22.237342,3.776536,3.016418,0.872187,0.025028,0.040394,0.169756,0.000697,0.002620,-0.049868,0.002392
3.261165,-141.893026,-139.708505,6.638355,6.563312,-0.918690,-22.053081,3.683913,2.899448,0.875318,0.041634,0.040024,0.166848,0.000584,0.002191,-0.049492,0.002442
3.265341,-142.610985,-139.094860,6.812075,6.680051,-0.699914,-22.161024,3.798915,2.806323,0.881595,0.031573,0.040649,0.171299,0.000125,0.001556,-0.049132,0.002451
3.269517,-143.152013,-138.077924,6.771079,6.679192,-0.693134,-22.117550,3.784832,2.836689,0.887582,0.031328,0.040613,0.171003,0.000032,0.000792,-0.049064,0.002419
3.273692,-143.350088,-137.868123,6.638398,6.564757,-0.727435,-22.041082,3.766795,2.879979,0.888707,0.032992,0.040040,0.170767,0.000001,0.000158,-0.048978,0.002449
3.277868,-143.507358,-137.601046,6.627173,6.665526,-0.688297,-21.950425,3.715406,3.062591,0.890126,0.031347,0.040487,0.169154,0.000003,0.000256,-0.048950,0.002452
3.282043,-143.820048,-137.688344,6.736022,6.669644,-0.776288,-21.967160,3.759567,2.919444,0.890597,0.035324,0.040519,0.170996,0.000037,0.000851,-0.048873,0.002456
3.286219,-143.957226,-137.547034,6.796798,6.570318,-0.732774,-21.980720,3.711024,3.114508,0.891869,0.033325,0.040542,0.168709,0.000139,0.001652,-0.049057,0.002475
