# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
2.000132,-96.275192,-420.110045,6.754217,6.834224,-42.185705,-242.583812,3.021724,2.355983,0.295749,0.172180,0.039794,0.012201
2.004307,-101.002667,-418.804821,6.739141,6.902691,-44.184093,-241.816036,2.993531,2.032786,0.310636,0.180724,0.039581,0.012071
2.008483,-106.002327,-417.879342,6.416388,7.057099,-45.894175,-241.959246,2.999803,2.109792,0.329243,0.187450,0.038262,0.012073
2.012658,-110.180742,-416.534889,6.522007,7.185955,-46.608798,-241.606339,3.056882,1.853868,0.348577,0.190571,0.038838,0.012282
2.016834,-114.958394,-414.983293,6.718506,6.958834,-47.651800,-241.691243,2.859670,2.026083,0.370466,0.194663,0.039239,0.011500
2.021010,-118.978627,-413.474281,6.791477,7.019443,-49.634665,-241.255474,2.641929,1.998549,0.382789,0.202904,0.039260,0.010633
2.025185,-123.389195,-412.174191,6.783365,6.917689,-50.838061,-241.064921,2.796296,2.153131,0.401027,0.207844,0.039403,0.011251
2.029361,-127.453680,-410.707552,6.881970,6.745944,-52.282487,-240.438042,2.962712,1.961402,0.415749,0.214114,0.039857,0.011887
2.033537,-131.585584,-409.261642,6.821793,6.950888,-52.772667,-240.858264,3.080011,2.366573,0.437722,0.215694,0.040119,0.012374
2.037712,-135.402549,-407.852998,6.856285,6.983429,-54.458237,-240.139283,3.021178,2.132183,0.449658,0.223006,0.040042,0.012118
2.041888,-138.721830,-406.365368,6.633604,7.105401,-56.027369,-240.021611,3.033113,2.146832,0.461349,0.229320,0.039403,0.012146
2.046064,-142.725558,-404.931763,6.677518,7.172213,-56.764016,-239.818486,3.064012,2.034786,0.480008,0.232418,0.039593,0.012247
2.050239,-146.358242,-403.825066,6.567037,7.005481,-58.382627,-239.673962,3.597383,2.284405,0.491987,0.238938,0.040063,0.014337
2.054415,-149.389289,-402.027867,6.763704,7.074354,-59.162734,-238.869339,3.143420,2.141542,0.505143,0.242792,0.039920,0.012574
2.058590,-152.947222,-400.985361,6.627547,7.377500,-60.820866,-238.791841,2.999446,2.113192,0.516560,0.249400,0.039533,0.011984
2.062766,-155.999663,-399.162390,6.808768,7.206912,-61.381534,-238.595461,3.565140,2.188480,0.532496,0.251802,0.041027,0.014188
2.066942,-158.831953,-398.173161,6.574238,7.091960,-62.628983,-238.347322,3.174738,2.062550,0.541833,0.256955,0.039258,0.012640
2.071117,-162.023874,-397.554945,6.875834,6.937795,-64.116226,-239.080308,3.168726,1.947395,0.553414,0.262013,0.040111,0.012531
2.075293,-164.410309,-396.039925,6.802523,7.118555,-64.279300,-238.691230,3.171521,2.126017,0.566729,0.263058,0.040125,0.012589
2.079469,-166.501408,-394.873945,6.726985,6.934689,-65.564759,-238.729415,3.257993,2.110588,0.573862,0.268032,0.039847,0.012889
2.083644,-169.084783,-393.542849,6.492182,6.999944,-66.248450,-238.111595,3.272049,2.238978,0.584500,0.271361,0.039139,0.012983
2.087820,-171.948398,-392.313536,6.883363,6.777709,-67.388200,-238.242098,3.541110,2.299284,0.596251,0.275655,0.040610,0.013993
2.091996,-173.532745,-391.349820,6.809289,6.851781,-68.571358,-238.120212,3.945129,2.198638,0.600584,0.280383,0.041247,0.015495
2.096171,-175.866285,-390.155902,6.878735,6.907947,-68.692803,-237.558571,3.090134,2.023132,0.612287,0.281484,0.039842,0.012217
2.100347,-177.006631,-389.509763,6.586207,6.988912,-69.657571,-237.778782,3.447089,2.177328,0.615739,0.284977,0.039793,0.013578
2.104522,-178.938552,-388.407651,6.858146,7.016755,-70.216619,-237.189398,3.129315,1.951317,0.623347,0.287816,0.040013,0.012335
2.108698,-180.454629,-387.792127,6.910702,6.879941,-71.168021,-237.867414,3.541060,2.223165,0.629888,0.290715,0.040877,0.013903
2.112874,-182.018197,-387.132098,6.871812,7.100357,-71.366583,-237.476543,3.522315,2.298814,0.636667,0.291934,0.041003,0.013863
2.117049,-183.163004,-386.149047,6.541759,6.953644,-72.143194,-237.309991,3.320347,2.336057,0.640875,0.295126,0.039508,0.013098
2.121225,-184.643918,-385.781660,6.821372,6.891198,-72.053494,-236.745652,3.232165,2.154024,0.646985,0.295443,0.039782,0.012750
2.125401,-185.276626,-385.455667,6.634029,6.855849,-71.701289,-236.835940,3.508798,2.133424,0.652528,0.293975,0.039491,0.013799
2.129576,-186.212202,-384.013226,6.918643,7.185140,-72.108249,-236.281028,3.786446,2.436221,0.657665,0.296202,0.041658,0.014940
2.133752,-186.986331,-383.312840,7.044326,7.070235,-72.511453,-235.541766,3.141059,2.231943,0.659108,0.298643,0.040670,0.012469
2.137928,-187.643077,-383.328698,6.983038,6.968936,-73.358417,-235.982397,3.478298,2.229089,0.659697,0.301394,0.040880,0.013705
2.142103,-187.924661,-383.378496,6.812671,6.941092,-73.575593,-235.812575,3.547922,2.277863,0.659249,0.302437,0.040401,0.013983
2.146279,-188.175045,-382.926937,6.932138,7.046069,-73.524929,-235.755088,3.517234,2.377152,0.661818,0.302311,0.040994,0.013895
2.150455,-188.253651,-383.081398,6.937967,6.968690,-73.333910,-236.018883,3.622038,2.401707,0.663318,0.301255,0.041026,0.014289
2.154630,-188.330607,-383.025938,6.975880,6.979385,-73.563376,-235.616010,3.597938,2.254112,0.661529,0.302627,0.040996,0.014178
2.158806,-188.412804,-383.083694,6.925815,6.968514,-73.563376,-235.616010,3.597938,2.254112,0.661687,0.302627,0.040803,0.014178
2.162981,-188.479811,-383.165561,6.952775,7.014065,-73.734103,-235.695053,3.668978,2.261949,0.661239,0.303192,0.041100,0.014440
2.167157,-188.321196,-383.438513,6.885346,7.034013,-73.775732,-235.759490,3.648158,2.289126,0.659709,0.303275,0.040911,0.014363
2.171333,-187.719677,-383.425480,6.730781,6.995108,-73.913562,-235.719972,3.581989,2.286791,0.656488,0.303855,0.040366,0.014110
2.175508,-186.654790,-384.709189,6.787416,6.948623,-74.059588,-236.305994,3.711038,2.550014,0.649053,0.303710,0.040881,0.014628
2.179684,-186.141789,-385.030261,6.828422,6.889187,-73.674824,-235.972248,3.642479,2.437137,0.646386,0.302628,0.040623,0.014369
2.183860,-184.708209,-385.139087,6.770801,6.936192,-73.440155,-236.158484,3.569677,2.337208,0.641490,0.301498,0.040528,0.014066
2.188035,-184.020571,-386.383374,6.887809,7.084755,-73.144561,-236.149078,3.556796,2.329956,0.635790,0.300367,0.040969,0.014023
2.192211,-182.454740,-386.705764,6.819036,6.916530,-73.255644,-235.903342,3.471663,2.331262,0.626731,0.301091,0.040456,0.013711
2.196387,-181.312187,-387.059009,6.540744,6.939743,-73.428580,-236.318962,3.733215,2.515604,0.621181,0.301261,0.040357,0.014719
2.200562,-179.970462,-388.433783,6.917389,6.951341,-73.043806,-236.397747,3.870193,2.562917,0.612936,0.299681,0.041744,0.015254
2.204738,-178.279773,-388.906307,6.901896,6.897850,-72.225296,-235.687971,3.078850,2.213573,0.605457,0.297359,0.040020,0.012228
2.208913,-176.423243,-390.526403,6.856883,7.002492,-71.436981,-236.364122,3.484821,2.417853,0.597868,0.293504,0.040763,0.013803
2.213089,-174.368819,-391.905542,6.896633,6.787994,-70.467462,-237.167578,3.142251,2.327797,0.591318,0.288813,0.040003,0.012466
2.217265,-172.567011,-393.314076,6.903229,6.880574,-70.569220,-237.684850,4.053164,2.444165,0.580155,0.288613,0.041921,0.015920
2.221440,-170.281538,-394.132127,6.843648,6.926300,-70.033445,-237.610411,3.843754,2.214911,0.569649,0.286625,0.041349,0.015097
2.225616,-168.019965,-395.408451,7.006645,6.942863,-69.415020,-237.872353,3.569450,2.205351,0.559260,0.283932,0.041458,0.014051
2.229792,-165.701572,-396.733559,6.874332,7.170740,-68.641639,-238.101223,3.990714,2.254576,0.549091,0.280677,0.042122,0.015678
2.233967,-162.828092,-397.679567,6.615195,6.948993,-66.771697,-237.755272,3.153750,2.174736,0.540888,0.273789,0.039217,0.012523
2.238143,-160.517468,-399.263932,6.823728,6.974989,-66.794836,-237.730892,3.168140,2.248784,0.525739,0.273906,0.040025,0.012595
2.242319,-157.783808,-400.938376,6.812385,6.944278,-64.849196,-238.418632,3.282654,2.361853,0.519453,0.265572,0.040097,0.013063
2.246494,-154.558188,-401.782427,6.603145,6.864306,-64.404724,-238.550167,3.201109,2.213442,0.504609,0.263697,0.039196,0.012723
2.250670,-151.334992,-402.988187,6.796449,7.053159,-63.344529,-238.947962,3.551429,2.382466,0.492338,0.259137,0.040929,0.014105
2.254846,-148.096652,-404.753515,6.816090,7.015263,-62.638016,-239.227461,3.164893,2.015968,0.476591,0.256086,0.040101,0.012552
2.259021,-144.861556,-406.098012,6.660232,7.078743,-61.764858,-238.915119,2.819137,2.033009,0.461277,0.252983,0.038880,0.011251
2.263197,-141.666598,-407.450936,6.922297,6.995345,-60.783573,-239.220236,3.081477,2.038414,0.448159,0.248825,0.040305,0.012270
2.267372,-138.070208,-408.939612,6.689917,6.941449,-59.315197,-239.647614,3.547768,2.235832,0.435424,0.242634,0.040294,0.014118
2.271548,-134.228850,-410.411313,6.625981,7.086129,-58.563759,-240.124918,3.233154,2.364899,0.418137,0.239219,0.039653,0.012909
2.275724,-130.371662,-411.705395,6.581398,6.840724,-57.332668,-240.245228,2.709684,2.078510,0.402702,0.234261,0.038216,0.010848
2.279899,-126.542002,-412.286171,6.685324,6.872956,-56.048070,-239.794645,3.060554,2.080823,0.387967,0.229612,0.039327,0.012254
2.284075,-122.452917,-413.390951,6.566254,6.956949,-55.993631,-239.820890,3.045780,2.128086,0.365675,0.229372,0.038970,0.012203
2.288251,-118.299828,-414.965838,6.683295,6.991264,-54.451400,-240.326809,2.980410,2.225636,0.350506,0.222810,0.039367,0.011964
2.292426,-114.182402,-416.290214,6.441604,7.036762,-52.534329,-241.034408,3.213356,2.437289,0.338242,0.214598,0.038897,0.012900
2.296602,-109.900549,-417.543744,6.439795,7.183720,-50.523776,-241.462785,3.109767,2.274592,0.325238,0.206265,0.038701,0.012482
2.300778,-105.201539,-418.952982,6.701924,6.962281,-49.222730,-241.782259,2.908973,2.142868,0.306034,0.200838,0.039311,0.011682
2.304953,-100.846938,-419.518679,6.737597,7.165266,-48.558974,-242.016124,3.232693,2.177094,0.286473,0.198014,0.040392,0.012957
2.309129,-96.161846,-420.894501,6.615371,7.071465,-46.315199,-242.027149,3.235140,2.142097,0.271784,0.189078,0.039669,0.012998
2.313304,-91.640265,-422.114764,6.550608,7.054435,-44.452226,-242.224341,3.165768,2.190005,0.256536,0.181497,0.039159,0.012745
2.317480,-86.723570,-423.158844,6.629937,7.128968,-43.932238,-242.041951,3.089405,2.218236,0.232009,0.179552,0.039346,0.012461
2.321656,-81.802104,-423.991679,6.560375,7.307981,-41.906627,-242.758614,3.051789,2.209098,0.216678,0.170942,0.039092,0.012302
2.325831,-76.875804,-424.932198,6.587514,7.067875,-39.886376,-243.343739,3.075286,2.107322,0.200950,0.162465,0.039253,0.012384
2.330007,-71.764250,-425.574354,6.549146,7.271263,-37.942465,-243.446826,3.081477,2.038414,0.183612,0.154611,0.039130,0.012423
2.334183,-66.820434,-426.840951,6.459180,7.085428,-36.040470,-243.925452,2.992379,2.280162,0.166712,0.146691,0.038427,0.012081
2.338358,-61.779366,-426.968070,6.682807,7.036575,-34.328525,-243.616948,2.986121,2.010957,0.148613,0.139990,0.039481,0.012073
2.342534,-56.891515,-427.818255,6.560425,7.068254,-32.460931,-244.328183,3.109843,2.346407,0.132365,0.132084,0.039239,0.012570
2.346710,-51.648376,-428.324118,6.517776,7.052490,-31.042365,-243.700334,2.658242,2.139473,0.111151,0.126697,0.037913,0.010790
2.350885,-46.616525,-429.794654,6.251570,7.088564,-28.392022,-245.557852,2.930831,2.326945,0.098598,0.115111,0.037324,0.011827
2.355061,-41.271856,-430.071560,6.474916,7.390053,-26.138651,-245.775377,3.094457,2.236031,0.081930,0.105954,0.038829,0.012486
2.359237,-35.829815,-430.955234,6.579798,7.128314,-24.954706,-245.696264,2.610394,2.293004,0.058635,0.101220,0.038152,0.010558
2.363412,-30.643938,-430.779904,6.317874,7.068967,-22.146042,-246.474888,2.959274,2.185738,0.046075,0.089610,0.037818,0.011936
