# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad), kinetic energy (J), kinetic energy error (J), potential energy (J), potential energy error (J)
5.999870,-294.915987,-283.231985,10.378202,10.260815,nan,nan,nan,nan,0.805605,nan,0.025232,nan,0.136704,0.039495,-0.090613,0.002080
6.004557,-280.641864,-297.676320,9.757709,10.185590,nan,nan,nan,nan,0.755952,nan,0.024349,nan,0.139283,0.033714,-0.094764,0.001933
6.009243,-265.224560,-311.067591,9.957675,9.530526,nan,nan,nan,nan,0.706017,nan,0.023925,nan,0.141427,0.028878,-0.099046,0.001754
6.013930,-247.856446,-325.211022,9.542455,9.429893,nan,nan,nan,nan,0.651226,nan,0.023236,nan,0.141032,0.026333,-0.102893,0.001681
6.018624,-230.294195,-337.765635,9.969575,9.413800,nan,nan,nan,nan,0.598418,nan,0.023964,nan,0.148355,0.040795,-0.106622,0.001528
6.023311,-211.481642,-350.438186,9.879492,9.267316,nan,nan,nan,nan,0.542973,nan,0.023747,nan,0.149355,0.041338,-0.109903,0.001423
6.027997,-192.307619,-360.879241,10.055965,9.485850,nan,nan,nan,nan,0.489609,nan,0.024290,nan,0.151103,0.042512,-0.112939,0.001264
6.032684,-172.368375,-371.008270,10.083650,8.718222,nan,nan,nan,nan,0.434924,nan,0.024090,nan,0.151616,0.041897,-0.115750,0.001093
6.037370,-150.662157,-379.607342,9.824474,8.970876,nan,nan,nan,nan,0.377822,nan,0.023782,nan,0.152459,0.041730,-0.118082,0.000971
6.042056,-130.092748,-388.289873,10.100046,9.610109,nan,nan,nan,nan,0.323286,nan,0.024546,nan,0.222214,0.051047,-0.120078,0.000832
6.046743,-108.435878,-394.415461,10.402602,9.026941,nan,nan,nan,nan,0.268299,nan,0.025209,nan,0.358595,0.064334,-0.121743,0.000637
6.051429,-86.214873,-400.430596,9.985506,9.414273,nan,nan,nan,nan,0.212068,nan,0.024318,nan,0.403951,0.068224,-0.123040,0.000466
6.056116,-63.143106,-404.141408,9.930927,9.546033,nan,nan,nan,nan,0.154987,nan,0.024256,nan,0.360126,0.066034,-0.124412,0.000133
6.060810,-18.085351,-409.193718,9.893886,9.488648,nan,nan,nan,nan,0.044169,nan,0.024154,nan,0.231615,0.053370,-0.124216,0.000207
6.065497,29.140692,-407.660869,9.528391,9.334692,nan,nan,nan,nan,-0.071361,nan,0.023311,nan,0.157180,0.042898,-0.123529,0.000384
6.070183,51.720999,-404.823826,9.946135,9.176733,nan,nan,nan,nan,-0.127073,nan,0.024342,nan,0.157917,0.043990,-0.122414,0.000588
6.074869,75.332905,-403.103486,10.588069,9.129660,nan,nan,nan,nan,-0.184751,nan,0.025707,nan,0.155885,0.044963,-0.120926,0.000777
6.079556,97.912981,-397.930657,10.776257,9.349063,nan,nan,nan,nan,-0.241263,nan,0.026110,nan,0.153845,0.044429,-0.119082,0.000915
6.084242,119.415208,-390.230225,10.321556,9.346279,nan,nan,nan,nan,-0.296963,nan,0.025096,nan,0.152145,0.043051,-0.116799,0.001097
6.088929,141.468276,-382.468046,10.533508,8.937117,nan,nan,nan,nan,-0.354277,nan,0.025391,nan,0.148825,0.042325,-0.114224,0.001271
6.093615,162.597712,-374.355092,10.712565,8.960909,nan,nan,nan,nan,-0.409756,nan,0.025614,nan,0.150119,0.042665,-0.111329,0.001401
6.098310,182.503484,-364.084824,10.463336,9.226427,nan,nan,nan,nan,-0.464660,nan,0.025111,nan,0.151860,0.042753,-0.108069,0.001518
6.102996,202.444241,-353.539099,10.214708,9.291380,nan,nan,nan,nan,-0.520045,nan,0.024533,nan,0.149712,0.041250,-0.104550,0.001621
6.107683,221.450841,-342.195069,9.991409,9.205570,nan,nan,nan,nan,-0.574368,nan,0.023960,nan,0.205362,0.048243,-0.100535,0.001780
6.112369,240.228695,-328.623972,10.063718,9.465281,nan,nan,nan,nan,-0.631239,nan,0.024221,nan,0.236048,0.052626,-0.096291,0.001939
6.117055,257.837835,-314.387998,10.135885,9.747257,nan,nan,nan,nan,-0.686893,nan,0.024549,nan,0.301974,0.060066,-0.091985,0.001970
6.121742,274.247937,-300.506775,9.885787,9.121268,nan,nan,nan,nan,-0.739743,nan,0.023464,nan,0.298364,0.057879,-0.082757,0.002246
6.126428,304.101035,-270.438854,9.631171,9.967982,nan,nan,nan,nan,-0.843921,nan,0.024132,nan,0.217730,0.050106,-0.077492,0.002405
6.131115,318.794514,-253.412416,9.960809,10.103753,nan,nan,nan,nan,-0.899168,nan,0.024675,nan,0.176068,0.046298,-0.067423,0.002624
6.135809,342.799535,-220.744299,9.807653,10.385737,nan,nan,nan,nan,-0.998689,nan,0.025065,nan,0.116971,0.037295,-0.061745,0.002597
6.140496,353.735367,-201.955885,10.183195,9.647049,nan,nan,nan,nan,-1.052031,nan,0.024014,nan,0.109130,0.035915,-0.056434,0.002693
6.145182,363.153421,-184.611529,10.073778,9.834019,nan,nan,nan,nan,-1.100486,nan,0.024261,nan,0.108360,0.036385,-0.051248,0.002863
6.149868,371.635316,-167.801089,10.180766,10.307282,nan,nan,nan,nan,-1.146678,nan,0.025225,nan,0.104204,0.035264,-0.045661,0.002796
6.154555,379.330415,-149.496822,10.290931,9.765951,nan,nan,nan,nan,-1.195380,nan,0.024129,nan,0.097652,0.033667,-0.040446,0.002968
6.159241,385.919180,-132.522839,10.191478,10.292022,nan,nan,nan,nan,-1.240017,nan,0.025197,nan,0.093677,0.033734,-0.034684,0.003046
6.163928,391.327318,-113.479903,9.662292,10.433035,nan,nan,nan,nan,-1.288551,nan,0.025464,nan,0.086542,0.032358,-0.029635,0.002904
6.168614,396.051437,-97.035527,9.534961,9.805510,nan,nan,nan,nan,-1.330522,nan,0.024010,nan,0.082225,0.030754,-0.024478,0.002969
6.173301,400.098615,-80.206163,9.665559,9.931122,nan,nan,nan,nan,-1.372953,nan,0.024313,nan,0.076586,0.030210,-0.019181,0.003016
6.177995,403.599318,-62.914681,9.786227,10.016247,nan,nan,nan,nan,-1.416157,nan,0.024508,nan,0.100743,0.034834,-0.014312,0.003028
6.182682,406.114760,-46.983684,9.694267,10.011075,nan,nan,nan,nan,-1.455618,nan,0.024477,nan,0.112325,0.036627,-0.009588,0.003015
6.187368,407.677958,-31.481694,9.821663,9.929574,nan,nan,nan,nan,-1.493727,nan,0.024283,nan,0.106930,0.035856,-0.004899,0.003118
6.192054,408.455532,-16.079571,9.581461,10.243088,nan,nan,nan,nan,-1.531450,nan,0.025056,nan,0.085763,0.032761,0.004228,0.003108
6.196741,408.961881,13.893931,9.670617,10.219184,nan,nan,nan,nan,-1.604757,nan,0.024972,nan,0.053983,0.025908,0.008516,0.003083
6.201427,408.420345,27.995211,9.653563,10.159535,nan,nan,nan,nan,-1.639234,nan,0.024811,nan,0.050431,0.025003,0.012687,0.003106
6.206114,407.252890,41.706048,9.567011,10.271890,nan,nan,nan,nan,-1.672849,nan,0.025074,nan,0.048667,0.024647,0.016783,0.003146
6.210800,405.873781,55.202503,9.747804,10.456319,nan,nan,nan,nan,-1.705976,nan,0.025497,nan,0.045569,0.024111,0.020615,0.003111
6.215495,404.035075,67.817452,9.668280,10.396289,nan,nan,nan,nan,-1.737097,nan,0.025329,nan,0.042716,0.023388,0.024310,0.003100
6.220181,401.937507,80.000409,9.864840,10.423550,nan,nan,nan,nan,-1.767266,nan,0.025384,nan,0.038345,0.022096,0.028240,0.003058
6.224867,399.727196,93.068971,9.753054,10.380318,nan,nan,nan,nan,-1.799552,nan,0.025216,nan,0.033931,0.020712,0.031556,0.003079
6.229554,396.992651,103.988323,9.726829,10.539526,nan,nan,nan,nan,-1.826981,nan,0.025559,nan,0.042902,0.023419,0.034866,0.003075
6.234240,394.182410,114.957008,9.604515,10.639514,nan,nan,nan,nan,-1.854560,nan,0.025723,nan,0.045815,0.024201,0.037824,0.003024
6.238927,391.285795,124.736274,9.782093,10.535833,nan,nan,nan,nan,-1.879397,nan,0.025490,nan,0.054759,0.026494,0.040810,0.002989
