# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
1.999948,215.953047,-373.404719,6.860990,6.445547,109.746869,-224.349105,3.129102,2.145260,5.664101,5.828232,0.039873,0.011870
2.004124,214.794567,-374.230561,6.907144,6.648382,109.457649,-225.778594,3.181661,2.675169,5.666066,5.831771,0.040987,0.012322
2.008299,213.574056,-375.044879,6.604574,6.491881,107.670369,-226.045454,3.068513,2.315422,5.665270,5.838659,0.039135,0.011757
2.012474,211.693883,-374.594977,6.792901,6.601714,106.802132,-226.753894,3.448749,3.193634,5.666119,5.843002,0.041508,0.013580
2.016649,210.211989,-375.977717,6.865758,6.506283,105.202262,-226.590266,2.942852,2.838863,5.670492,5.848516,0.040247,0.011707
2.020825,208.488725,-376.676413,6.808280,6.443784,103.656186,-226.652080,3.093946,2.292333,5.673285,5.854247,0.039749,0.011920
2.025000,206.390564,-377.676105,6.754917,6.257754,103.056639,-228.540812,3.424880,3.084227,5.677249,5.859556,0.040704,0.013441
2.029175,204.622899,-378.824436,6.733274,6.443911,101.156790,-227.696841,2.833380,2.207589,5.682851,5.865114,0.039046,0.010997
2.033351,202.461637,-381.086822,6.860506,6.479424,100.122790,-230.120667,3.254223,2.714346,5.687451,5.872801,0.040678,0.012649
2.037526,200.169189,-381.624538,6.636411,6.813266,98.103706,-230.223317,3.131356,2.178682,5.690027,5.880363,0.039875,0.012006
2.041701,198.181970,-382.991900,6.338478,6.545230,96.660510,-230.871191,3.590677,2.242791,5.694693,5.886682,0.039227,0.013678
2.045876,195.639329,-383.855230,6.599868,6.654422,95.471757,-232.009599,3.127316,2.781818,5.700044,5.892805,0.039998,0.012275
2.050052,193.007200,-384.847100,6.711051,6.719563,93.423815,-232.019679,3.096925,2.463061,5.705681,5.900392,0.040141,0.012060
2.054227,190.399039,-386.532084,6.505306,6.732959,91.668879,-232.595206,3.071562,2.200154,5.712902,5.907764,0.039162,0.011877
2.058402,187.363318,-387.734540,6.750747,6.566058,90.067095,-233.681061,3.007663,2.736775,5.719872,5.915304,0.040133,0.011875
2.062577,184.430765,-390.056031,6.789094,6.624599,88.025312,-236.018835,2.914348,3.089201,5.723969,5.926205,0.040536,0.011656
2.066753,181.428041,-390.816276,6.732853,6.588370,86.413391,-236.577501,3.113903,3.072633,5.731067,5.932977,0.040725,0.012344
2.070928,178.291930,-392.540799,6.747963,6.543228,84.013910,-236.752962,2.991063,2.894132,5.738973,5.942188,0.040205,0.011864
2.075103,175.075930,-394.073850,6.672764,6.699648,82.244083,-237.669110,3.026437,3.147518,5.747532,5.950039,0.040393,0.012086
2.079278,171.939523,-395.279369,6.565511,6.764444,79.606295,-238.108135,3.113185,2.837194,5.752031,5.960540,0.039959,0.012294
2.083454,168.047910,-396.792523,6.584033,6.844677,77.634958,-237.842012,3.076389,2.303737,5.766014,5.967675,0.039681,0.012033
2.087629,164.478042,-398.448378,6.745923,6.850349,75.808987,-239.530234,3.020797,2.916543,5.774256,5.976669,0.040687,0.011986
2.091804,160.589129,-399.850171,6.726891,6.508056,72.638795,-238.924746,3.593581,2.057901,5.783011,5.988041,0.040624,0.013975
2.095979,156.707972,-401.514633,6.791181,6.555441,71.219428,-239.949554,3.523692,2.369518,5.796508,5.994658,0.041071,0.013762
2.100155,152.639637,-403.110336,6.668457,6.805767,68.200049,-239.894016,3.059477,2.108751,5.805756,6.006201,0.039684,0.012024
2.104330,148.380924,-404.257899,6.417624,6.589344,66.268279,-241.914785,2.898103,2.969374,5.814911,6.015812,0.038916,0.011574
2.108505,143.985872,-406.414285,6.674803,6.772247,64.592150,-241.945780,3.474758,2.464620,5.833450,6.022300,0.040881,0.013644
2.112680,139.934301,-407.736679,6.485587,6.718394,61.023854,-242.097010,3.446760,2.033216,5.838597,6.036265,0.039708,0.013534
2.116856,135.207184,-409.553575,6.550496,6.918877,59.076084,-244.072080,3.457959,2.999157,5.851999,6.045709,0.040794,0.013675
2.121031,130.524737,-411.050192,6.344642,6.903426,56.427099,-244.163139,3.168081,2.253424,5.865333,6.056069,0.038993,0.012483
2.125206,126.019621,-412.144626,6.473464,6.738828,54.112763,-244.617554,3.089414,3.023513,5.877741,6.065478,0.039529,0.012319
2.129381,121.265756,-413.743339,6.482367,6.776985,51.792821,-244.961897,2.957596,2.927951,5.892706,6.074822,0.039245,0.011808
2.133557,116.167774,-415.297033,6.493171,6.872628,49.357655,-244.982239,3.409497,2.485889,5.909357,6.084372,0.040068,0.013518
2.137732,110.736484,-416.892054,6.459434,6.744629,47.043261,-245.581922,3.482409,2.244638,5.927222,6.093920,0.040001,0.013782
2.141907,105.930498,-418.612590,6.504344,6.869551,44.121285,-245.575132,3.168908,2.305815,5.940109,6.105417,0.039383,0.012607
2.146082,100.496564,-419.933083,6.482621,6.823146,42.065220,-246.644085,3.249058,2.650923,5.957968,6.114260,0.039690,0.012924
2.150258,95.129746,-421.239951,6.540342,6.898265,39.134192,-247.892431,3.425519,2.994618,5.970741,6.126610,0.040601,0.013610
2.154433,89.800652,-422.625585,6.554310,6.921914,37.032487,-248.341569,3.383271,3.051661,5.989188,6.135157,0.040594,0.013447
2.158608,84.128895,-424.431771,6.443483,6.796927,34.215028,-248.016675,3.651045,2.691513,6.007458,6.146096,0.040356,0.014521
2.162784,78.595622,-425.263921,6.363666,6.962132,31.030350,-249.324349,3.483419,3.106510,6.019147,6.159364,0.039946,0.013843
2.166959,72.870518,-426.729494,6.439371,7.083114,28.504905,-249.749531,3.177174,3.171976,6.037565,6.169543,0.039550,0.012639
2.171134,66.680252,-427.868615,6.237056,6.762417,25.635014,-250.821407,3.155473,3.224145,6.055377,6.181335,0.038606,0.012518
2.175309,61.312519,-428.673109,6.330501,6.890550,23.773935,-250.038149,3.439338,2.746359,6.076058,6.188389,0.039519,0.013671
2.179485,55.077324,-429.470415,6.322932,6.950781,20.321517,-250.342871,3.108418,2.726947,6.091538,6.202188,0.038699,0.012367
2.183660,49.392853,-430.668892,6.253165,6.958607,18.306634,-249.728788,3.175027,2.408421,6.113042,6.210010,0.038255,0.012665
2.187835,43.243942,-431.015692,6.211935,6.828232,16.344581,-250.731999,3.007191,2.980478,6.135072,6.218090,0.037931,0.011968
2.192010,37.458136,-431.855491,6.416727,6.990302,13.362593,-249.831291,3.408391,2.376314,6.151575,6.229750,0.039582,0.013613
2.196186,31.340476,-432.310896,6.549003,6.760682,10.433273,-249.660085,3.249335,2.247013,6.169216,6.241420,0.039753,0.012998
2.200361,25.131842,-432.798543,6.428637,6.933585,8.352376,-249.716254,3.261625,2.178295,6.191791,6.249750,0.039213,0.013050
2.204536,19.120053,-433.911908,6.389850,7.080268,5.898254,-251.738302,3.290540,3.014262,6.210734,6.259759,0.039365,0.013067
2.208711,12.798377,-434.106378,6.369280,6.831916,3.005537,-251.164962,3.358964,2.540043,6.229706,6.271219,0.039306,0.013372
2.212887,6.837687,-434.315035,6.402060,7.067255,1.198641,-251.234000,3.163047,3.104014,6.252394,6.278414,0.038988,0.012590
