# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad)
3.499211,62.852585,-329.341150,6.643479,6.854498,-32.493393,-172.020801,3.787281,2.710690,5.738320,0.186693,0.041172,0.021451
3.503386,61.295250,-331.591945,6.694032,6.712901,-30.663070,-172.006137,3.772668,2.708518,5.760426,0.176414,0.041129,0.021431
3.507562,59.569530,-333.666200,6.480335,6.673795,-29.054883,-172.216284,4.081963,2.592547,5.781165,0.167138,0.040973,0.023178
3.511738,57.592589,-335.883890,6.488309,6.624533,-27.008135,-172.542822,4.197497,2.762365,5.805290,0.155270,0.041395,0.023871
3.515913,55.716839,-338.208323,6.478611,6.812003,-25.332240,-172.962063,4.074716,2.924962,5.827187,0.145427,0.041333,0.023191
3.520089,53.450155,-339.950092,6.375594,6.827230,-24.020536,-172.898989,3.605805,2.868618,5.848952,0.138045,0.039855,0.020585
3.524265,50.958844,-342.094898,6.534847,6.773401,-21.557081,-172.915698,3.902801,2.762658,5.878241,0.124028,0.041107,0.022311
3.528440,48.501541,-343.845880,6.241649,6.997323,-19.384315,-173.047800,3.940101,2.592268,5.904868,0.111552,0.040220,0.022548
3.532616,45.728018,-345.431963,6.374841,7.041502,-17.876299,-173.385103,3.475585,2.677837,5.929076,0.102739,0.039765,0.019897
3.536792,42.906341,-347.394939,6.455018,6.918620,-15.350481,-173.403355,3.905137,2.666282,5.960092,0.088295,0.041046,0.022386
3.540967,39.539784,-349.162138,6.434352,6.966593,-12.758754,-173.439016,3.589716,2.819627,5.993914,0.073431,0.040253,0.020620
3.545143,37.944450,-350.937219,6.432699,7.016278,-9.238955,-173.732257,3.666145,2.745318,6.022958,0.053129,0.040423,0.021059
3.549319,34.466957,-351.970317,6.396951,6.884721,-6.234286,-173.773744,3.841407,2.591661,6.058631,0.035861,0.040794,0.022084
3.553494,31.446878,-353.229891,6.355504,6.995260,-3.850381,-173.778060,4.080638,2.678676,6.088970,0.022153,0.041284,0.023473
3.557670,28.503514,-353.987417,6.247775,6.960637,-1.629782,-173.456205,3.638365,2.661083,6.117795,0.009396,0.039535,0.020974
3.561846,24.708214,-354.882007,6.146635,6.880037,1.519961,-173.806901,3.893740,2.740479,6.155820,-0.008745,0.039869,0.022401
3.566021,21.369038,-355.682001,6.205945,7.012271,4.493387,-173.529708,3.626709,2.712864,6.190803,-0.025888,0.039309,0.020890
3.570197,18.006645,-355.800270,6.341048,6.896346,6.702354,-173.617741,3.700019,2.727484,6.221215,-0.038585,0.040222,0.021288
3.574373,14.517332,-355.980029,6.166613,6.912816,9.774380,-173.191586,3.258036,2.735820,6.257243,-0.056377,0.038144,0.018773
3.578548,10.501024,-356.066654,6.165966,6.645951,12.360976,-173.206003,3.623794,2.693178,6.293356,-0.071245,0.039110,0.020845
3.582724,6.975292,-355.200157,6.148102,6.742876,14.735306,-172.867417,3.571138,2.604412,6.325719,-0.085035,0.038961,0.020549
3.586900,4.161029,-354.987471,6.282780,6.702905,18.356304,-172.766361,3.553873,2.605298,6.360930,-0.105852,0.039492,0.020402
3.591075,0.552019,-354.091025,6.307564,6.763296,20.411526,-172.652746,3.718133,2.760163,6.392207,-0.117677,0.040114,0.021320
3.595251,-3.012212,-352.707643,6.324519,6.845548,22.997502,-172.042433,3.662317,2.695274,6.426169,-0.132886,0.040045,0.021015
3.599427,-6.137208,-351.960316,6.285127,6.701440,25.780623,-172.222510,3.863717,2.738900,6.458933,-0.148590,0.040392,0.022066
3.603602,-9.322530,-350.340025,6.437628,6.638164,28.506429,-171.765917,3.611654,2.857716,6.491938,-0.164462,0.040403,0.020639
3.607778,-12.307049,-349.612811,6.330192,6.480433,30.496651,-171.096279,3.592007,2.571924,6.518517,-0.176390,0.039558,0.020513
3.611954,-14.720615,-347.897424,6.314798,6.582964,32.529463,-170.824710,3.573733,2.590410,6.543949,-0.188173,0.039527,0.020380
3.616129,-17.981866,-345.937220,6.345363,6.631461,34.920838,-170.483045,3.507974,2.539398,6.576035,-0.202040,0.039497,0.019964
3.620305,-20.478376,-344.030372,6.303702,6.638101,37.031334,-170.176263,3.649483,2.402160,6.602648,-0.214265,0.039658,0.020685
3.624481,-22.537001,-342.384165,6.303643,6.812058,39.078987,-169.593238,3.649149,2.517852,6.625721,-0.226475,0.039691,0.020689
3.628656,-25.296548,-340.411502,6.648737,6.823130,40.919548,-169.544464,3.661125,2.708452,6.652896,-0.236821,0.041245,0.020728
3.632832,-27.255728,-338.555546,6.567924,6.682040,42.877305,-169.225572,3.662095,2.716558,6.675855,-0.248151,0.040789,0.020691
3.637008,-29.498014,-337.000989,6.578981,6.593620,44.813068,-169.020846,3.791903,2.649553,6.699685,-0.259170,0.040918,0.021318
3.641183,-32.343286,-335.163955,6.615284,6.616201,45.391114,-168.647798,3.653405,2.501311,6.719945,-0.262917,0.040665,0.020540
3.645359,-34.221604,-333.237529,6.447021,6.665583,46.791925,-168.423398,3.270806,2.613355,6.740046,-0.270989,0.039291,0.018467
3.649535,-35.964207,-331.322010,6.415739,6.533388,48.031973,-167.848982,3.635437,2.478067,6.757830,-0.278713,0.039693,0.020397
3.653710,-37.342189,-330.086549,6.284440,6.723384,49.276819,-167.588931,3.635974,2.743422,6.772920,-0.285974,0.039430,0.020455
3.657886,-37.470385,-329.321086,6.454354,6.532071,50.962738,-168.122482,3.748699,2.479824,6.784951,-0.294325,0.040010,0.020828
3.662062,-39.862004,-326.842463,6.371388,6.514120,51.242809,-166.919050,3.417838,2.402492,6.801011,-0.297859,0.038907,0.019143
3.666237,-40.032826,-325.150874,6.348270,6.531358,52.987095,-166.648202,3.752573,2.555569,6.813892,-0.307849,0.039632,0.020924
3.670413,-41.309036,-324.078288,6.487247,6.635947,54.647659,-166.550591,3.718456,2.619100,6.830300,-0.317046,0.040043,0.020688
3.674589,-41.932184,-322.862216,6.392386,6.461185,55.044730,-165.978176,3.631115,2.549404,6.836839,-0.320224,0.039264,0.020237
3.678764,-42.998579,-321.946199,6.324650,6.721110,55.719258,-166.038588,3.299695,2.707261,6.847646,-0.323771,0.038833,0.018526
3.682940,-43.508861,-320.978392,6.510086,6.583928,56.091623,-166.066443,3.536734,2.644657,6.854588,-0.325735,0.039738,0.019717
3.687116,-43.808418,-320.577473,6.495176,6.506729,56.334627,-165.998795,3.617333,2.679726,6.858044,-0.327172,0.039739,0.020149
3.691291,-44.571318,-320.153256,6.030633,6.854106,57.793326,-165.578010,3.134566,2.251188,6.868111,-0.335819,0.037361,0.017397
3.695467,-45.195915,-319.440474,6.459163,6.303914,57.686304,-165.573913,3.323772,2.609947,6.872557,-0.335251,0.038525,0.018559
3.699643,-46.100322,-319.425495,6.534788,6.450584,56.599302,-165.493092,3.255578,2.505182,6.871539,-0.329534,0.038832,0.018212
3.703818,-45.346307,-319.178662,6.531896,6.387671,57.959400,-165.266397,3.444445,2.351114,6.874319,-0.337301,0.038895,0.019083
3.707994,-45.567874,-319.109843,6.552749,6.462351,57.691510,-165.484444,3.309722,2.652837,6.874975,-0.335447,0.039072,0.018516
3.712170,-45.567874,-319.109843,6.552749,6.462351,58.225221,-165.701120,3.643083,2.677414,6.878019,-0.337910,0.039646,0.020212
3.716345,-45.359943,-319.382840,6.569706,6.493655,57.388716,-165.685187,3.393062,2.660497,6.872464,-0.333439,0.039377,0.018948
3.720521,-45.334791,-319.555035,6.625060,6.570487,57.894185,-165.813401,3.762406,2.639912,6.874488,-0.335920,0.040262,0.020823
3.724697,-45.260863,-320.598834,6.513535,6.501082,57.124943,-165.785626,3.687939,2.632692,6.867499,-0.331830,0.039573,0.020477
3.728872,-44.460125,-320.854581,6.122824,6.573741,56.197769,-165.703951,3.790229,2.695198,6.858699,-0.326972,0.038783,0.021102
3.733048,-44.874752,-321.781912,6.507497,6.936216,54.933956,-166.066386,3.517539,2.538735,6.853185,-0.319464,0.039977,0.019629
3.737224,-44.367902,-322.457800,6.535288,6.676669,54.577321,-165.908026,3.326700,2.779070,6.846829,-0.317811,0.039442,0.018764
3.741399,-43.460371,-323.932316,6.112190,6.931177,54.900538,-166.266377,3.193562,2.458673,6.840962,-0.318925,0.037817,0.017870
3.745575,-42.522639,-324.789119,6.574338,6.537767,53.570271,-166.379769,3.267106,2.591200,6.828452,-0.311494,0.039183,0.018363
3.749751,-41.689876,-326.348159,6.197357,6.742444,53.070562,-166.452505,3.240334,2.517348,6.818175,-0.308644,0.037914,0.018205
3.753926,-40.581238,-327.325117,6.543681,6.764957,51.652014,-166.869112,3.771036,2.465086,6.804884,-0.300182,0.040343,0.021041
3.758102,-39.431496,-328.810724,6.246470,6.581627,50.329901,-166.994954,3.633570,2.470441,6.789640,-0.292728,0.038805,0.020361
3.762278,-38.065818,-330.173884,6.431434,6.705506,49.569548,-167.370460,3.603588,2.767551,6.776993,-0.287936,0.039731,0.020300
3.766453,-36.985884,-331.877655,6.284395,6.737152,48.093067,-167.466284,3.505863,2.485928,6.760716,-0.279655,0.038856,0.019737
3.770629,-35.776989,-333.346216,6.308373,6.764593,46.050152,-167.923691,3.598379,2.688734,6.742548,-0.267653,0.039370,0.020344
3.774805,-33.652986,-335.139080,6.356267,6.718555,45.088109,-168.252738,3.682824,2.770345,6.724040,-0.261827,0.039732,0.020833
3.778980,-31.852582,-337.156619,6.280516,6.813075,43.898079,-168.771450,3.896689,2.804091,6.705927,-0.254465,0.040009,0.022001
3.783156,-29.886027,-338.765484,6.405947,6.739555,42.216877,-168.575583,3.704787,2.635958,6.683922,-0.245386,0.039903,0.021006
3.787332,-27.766535,-340.789424,6.440427,6.693296,40.953360,-169.236902,3.235388,2.375247,6.664188,-0.237424,0.038922,0.018343
3.791507,-25.748633,-342.570284,6.226714,6.697144,39.044006,-169.722794,3.267751,2.841695,6.641828,-0.226112,0.038260,0.018648
3.795683,-23.361153,-344.050817,6.313144,6.519014,37.540893,-170.088480,3.640344,2.729521,6.619938,-0.217231,0.039410,0.020686
3.799859,-21.086892,-345.560953,6.380261,6.633723,35.494721,-170.428141,3.662389,2.573133,6.595678,-0.205333,0.039850,0.020815
3.804034,-18.118263,-347.378903,6.501843,6.607890,33.728870,-170.505467,3.591864,2.406441,6.568329,-0.195296,0.040135,0.020450
3.808210,-14.367872,-348.756740,6.230204,6.658211,31.830146,-171.024917,3.918855,2.572665,6.537489,-0.184009,0.040005,0.022312
3.812386,-11.699812,-350.299727,6.174735,6.626093,29.615806,-171.215398,3.891123,2.807384,6.509923,-0.171279,0.039684,0.022237
3.816561,-8.791039,-351.712315,6.421157,6.623750,26.968484,-171.378147,3.684570,2.747716,6.478942,-0.156082,0.040222,0.021124
3.820737,-5.938956,-352.632984,6.250010,6.868300,24.780343,-172.179165,3.740466,2.828182,6.451802,-0.142940,0.039814,0.021409
3.824913,-3.084037,-354.062111,6.239052,6.762351,22.431910,-172.372812,3.780207,2.858230,6.422710,-0.129409,0.039765,0.021669
3.829088,0.520194,-354.622488,6.288285,6.840631,19.219651,-172.609320,3.572950,2.820273,6.385563,-0.110891,0.039537,0.020525
3.833264,3.938120,-355.578455,5.996705,6.695056,17.478441,-173.149742,3.690876,2.843980,6.357272,-0.100603,0.038500,0.021165
3.837440,6.953811,-355.734047,6.231927,6.694922,14.654659,-173.153258,3.720441,2.834725,6.325338,-0.084433,0.039717,0.021378
3.841615,10.630041,-356.119085,6.171150,6.568889,12.298213,-173.109688,3.718712,2.762945,6.292300,-0.070924,0.039368,0.021404
3.845791,14.206579,-355.973017,6.147769,6.681729,8.717734,-173.515320,3.645629,2.752257,6.253112,-0.050200,0.039156,0.020973
3.849967,17.934040,-356.025346,6.295192,6.756438,6.213320,-173.751535,4.035205,2.797720,6.218971,-0.035745,0.040935,0.023201
