# time (s), x1 (pixels), y1 (pixels), x1 error (pixels), y1 error (pixels), x2 (pixels), y2 (pixels), x2 error (pixels), y2 error (pixels), angle1 (the smaller arm) (rad), angle2 (the larger arm) (rad), angle1 error (rad), angle2 error (rad), kinetic energy (J), kinetic energy error (J), potential energy (J), potential energy error (J)
2.501215,-122.452188,-185.253732,6.608540,6.591316,-4.759035,-44.960396,3.133535,2.136601,0.698019,0.105457,0.039085,0.069103,0.030718,0.023576,-0.061273,0.001869
2.505391,-117.607651,-189.161784,6.334008,6.880640,-4.697051,-44.990380,3.168436,2.172595,0.664394,0.104024,0.038953,0.069844,0.032383,0.020552,-0.062802,0.001816
2.509567,-112.953410,-193.095257,6.475696,6.876467,-4.585265,-45.038809,3.274278,2.240186,0.631841,0.101457,0.039503,0.072128,0.033924,0.017832,-0.064174,0.001756
2.513742,-108.153834,-196.148321,6.759289,6.517116,-4.408316,-44.948638,3.243511,2.289329,0.601369,0.097762,0.039885,0.071644,0.034842,0.016376,-0.065646,0.001638
2.517918,-102.927105,-199.647103,6.532797,6.530822,-4.408316,-44.948638,3.243511,2.289329,0.567071,0.097762,0.039192,0.071644,0.039083,0.026578,-0.067147,0.001543
2.522094,-97.057268,-203.031053,6.436593,6.791600,-4.556651,-45.185381,3.184123,2.237592,0.530076,0.100504,0.039209,0.069934,0.039451,0.027011,-0.068495,0.001456
2.526269,-91.766076,-205.808760,6.623157,6.670337,-5.015480,-45.008311,2.941001,2.207972,0.494740,0.110977,0.039394,0.064768,0.041400,0.027921,-0.069746,0.001335
2.530445,-86.207040,-208.975637,6.438461,6.703731,-4.993889,-44.953245,2.952697,2.167924,0.459748,0.110637,0.038660,0.065098,0.043180,0.028401,-0.071053,0.001243
2.534621,-79.261906,-211.556523,6.590706,6.719518,-4.652564,-44.635759,2.852659,2.004407,0.420335,0.103859,0.039126,0.063392,0.043044,0.028316,-0.072144,0.001170
2.538796,-73.321120,-213.842066,6.483676,6.655594,-5.321009,-45.808762,3.318385,2.634028,0.384536,0.115639,0.040083,0.071779,0.044454,0.029104,-0.073238,0.001073
