0,1,2,3,4
0.0,0.23408267579851094,2.3885571588075947,0.1,0.1
0.03333333333333333,0.2294571046099863,2.389005951676136,0.1,0.1
0.06666666666666667,0.22570635586588494,2.3893632291725218,0.1,0.1
0.1,0.2207768558742272,2.3898237549891186,0.1,0.1
0.13333333333333333,0.2195797906454362,2.389934039997779,0.1,0.1
0.16666666666666666,0.21922086912755578,2.3899669894245315,0.1,0.1
0.2,0.2210152291669982,2.389801721581993,0.1,0.1
0.23333333333333334,0.2231751846232474,2.389600978608851,0.1,0.1
0.26666666666666666,0.22618665035536084,2.3893178104222597,0.1,0.1
0.3,0.23481202685823202,2.3884855687323565,0.1,0.1
0.3333333333333333,0.24045789640376877,2.3879237843903383,0.1,0.1
0.36666666666666664,0.24701927934092316,2.3872539612772434,0.1,0.1
0.4,0.26298871654733286,2.385547512620276,0.1,0.1
0.43333333333333335,0.2724553645736423,2.384484865608302,0.1,0.1
0.4666666666666667,0.2829548500784575,2.383261746602139,0.1,0.1
0.5,0.3072085597920972,2.3802568980659347,0.1,0.1
0.5333333333333333,0.3210501478994904,2.37842948235463,0.1,0.1
0.5666666666666667,0.33609944737490377,2.376349545305632,0.1,0.1
0.6,0.37003812745259995,2.3713017067069666,0.1,0.1
0.6333333333333333,0.38904586241944705,2.368257443128662,0.1,0.1
0.6666666666666666,0.4094980762921348,2.3648068262572823,0.1,0.1
0.7,0.4550164701068078,2.3564719416813644,0.1,0.1
0.7333333333333333,0.48023267681045734,2.351462646125484,0.1,0.1
0.7666666666666666,0.5071931742245196,2.3457951922578526,0.1,0.1
0.8,0.5666866588314942,2.3321376954850663,0.1,0.1
0.8333333333333334,0.599396931353188,2.323945635914141,0.1,0.1
0.8666666666666667,0.634205074911885,2.314688731332144,0.1,0.1
0.9,0.7104899734138918,2.2924231715977585,0.1,0.1
0.9333333333333333,0.7521543309842077,2.279092771780407,0.1,0.1
0.9666666666666667,0.7962891315665396,2.26405026864445,0.1,0.1
1.0,0.8923136026502092,2.2279534183921808,0.1,0.1
1.0333333333333332,0.9443570081776589,2.20639748030715,0.1,0.1
1.0666666666666667,0.9991723893409349,2.182121567736025,0.1,0.1
1.1,1.1172760777061461,2.1240748965574565,0.1,0.1
1.1333333333333333,1.1805858390548272,2.0895494913074466,0.1,0.1
1.1666666666666667,1.2466985219493723,2.050790773182201,0.1,0.1
1.2,1.3869836825703652,1.9586414333112503,0.1,0.1
1.2333333333333334,1.4608495849046663,1.904184468554416,0.1,0.1
1.2666666666666666,1.5368839411356754,1.8433631632099177,0.1,0.1
1.3,1.69401841931158,1.7000887021073625,0.1,0.1
1.3333333333333333,1.7741415564947602,1.61629877730522,0.1,0.1
1.3666666666666667,1.8544480043948708,1.5234902687565421,0.1,0.1
1.4,2.012182393136723,1.3080986265379875,0.1,0.1
1.4333333333333333,2.0874791900940006,1.184242640223909,0.1,0.1
1.4666666666666666,2.1586691532447624,1.0488791574006704,0.1,0.1
1.5,2.2823706150774288,0.7421484861071128,0.1,0.1
1.5333333333333332,2.3312078658014275,0.5704996813544709,0.1,0.1
1.5666666666666667,2.3686111907217864,0.3868863233399703,0.1,0.1
1.6,2.399961530529886,-0.013588670893331321,0.1,0.1
1.6333333333333333,2.389135792979464,-0.2281012115364317,0.1,0.1
1.6666666666666667,2.357477681205992,-0.44977659189381974,0.1,0.1
1.7,2.2230623423933515,-0.9044301088710976,0.1,0.1
1.7333333333333334,2.1168019846356185,-1.130994853145984,0.1,0.1
1.7666666666666666,1.9829745383087947,-1.3519659686615717,0.1,0.1
1.8,1.6320388628703504,-1.7596730236270752,0.1,0.1
1.8333333333333333,1.4167059042767605,-1.9372517597842998,0.1,0.1
1.8666666666666667,1.177491478813595,-2.0912947705479903,0.1,0.1
1.9,0.6409524201291834,-2.312829434941224,0.1,0.1
1.9333333333333333,0.3523907449877575,-2.373988366198742,0.1,0.1
1.9666666666666666,0.05715815277265129,-2.399319267119659,0.1,0.1
2.0,-0.5309413981270807,-2.3405343902098212,0.1,0.1
